.structPortraitEntry 0,GraphicsPointer,PaletteIndex
DefaultPortrait,g4bppcLeifPortrait,LeifPortraitPalette00
LeifPortrait,g4bppcLeifPortrait,LeifPortraitPalette00
FinnPortrait,g4bppcFinnPortrait,FinnPortraitPalette00
OrsinPortrait,g4bppcOrsinPortrait,OrsinPortraitPalette00
HalvanPortrait,g4bppcHalvanPortrait,HalvanPortraitPalette00
EyvelPortrait,g4bppcEyvelPortrait,EyvelPortraitPalette00
DagdarPortrait,g4bppcDagdarPortrait,DagdarPortraitPalette00
RalphPortrait,g4bppcRalphPortrait,RalphPortraitPalette00
MartyPortrait,g4bppcMartyPortrait,MartyPortraitPalette00
RonanPortrait,g4bppcRonanPortrait,RonanPortraitPalette00
MirandaPortrait,g4bppcMirandaPortrait,MirandaPortraitPalette00
SapphiePortrait,g4bppcSapphiePortrait,SapphiePortraitPalette00
LaraPortrait,g4bppcLaraPortrait,LaraPortraitPalette00
BrightonPortrait,g4bppcBrightonPortrait,BrightonPortraitPalette00
FergusPortrait,g4bppcFergusPortrait,FergusPortraitPalette00
EdaPortrait,g4bppcEdaPortrait,EdaPortraitPalette00
AsvelPortrait,g4bppcAsvelPortrait,AsvelPortraitPalette00
MatriaPortrait,g4bppcMatriaPortrait,MatriaPortraitPalette00
HicksPortrait,g4bppcHicksPortrait,HicksPortraitPalette00
NannaPortrait,g4bppcNannaPortrait,NannaPortraitPalette00
SelphinaPortrait,g4bppcSelphinaPortrait,SelphinaPortraitPalette00
DahlsonPortrait,g4bppcDahlsonPortrait,DahlsonPortraitPalette00
CallionPortrait,g4bppcCallionPortrait,CallionPortraitPalette00
GalzusPortrait,g4bppcGalzusPortrait,GalzusPortraitPalette00
PanPortrait,g4bppcPanPortrait,PanPortraitPalette00
GladePortrait,g4bppcGladePortrait,GladePortraitPalette00
KanePortrait,g4bppcKanePortrait,KanePortraitPalette00
AlbaPortrait,g4bppcAlbaPortrait,AlbaPortraitPalette00
RobertPortrait,g4bppcRobertPortrait,RobertPortraitPalette00
FredPortrait,g4bppcFredPortrait,FredPortraitPalette00
OlwenPortrait,g4bppcOlwenPortrait,OlwenPortraitPalette00
CedPortrait,g4bppcCedPortrait,CedPortraitPalette00
LithisPortrait,g4bppcLithisPortrait,LithisPortraitPalette00
KarinPortrait,g4bppcKarinPortrait,KarinPortraitPalette00
DeanPortrait,g4bppcDeanPortrait,DeanPortraitPalette00
ShanamPortrait,g4bppcShanamPortrait,ShanamPortraitPalette00
TrudePortrait,g4bppcTrudePortrait,TrudePortraitPalette00
TanyaPortrait,g4bppcTanyaPortrait,TanyaPortraitPalette00
LinoanPortrait,g4bppcLinoanPortrait,LinoanPortraitPalette00
MischaPortrait,g4bppcMischaPortrait,MischaPortraitPalette00
SalemPortrait,g4bppcSalemPortrait,SalemPortraitPalette00
SchroffPortrait,g4bppcSchroffPortrait,SchroffPortraitPalette00
MareetaPortrait,g4bppcMareetaPortrait,MareetaPortraitPalette00
TinaPortrait,g4bppcTinaPortrait,TinaPortraitPalette00
GunterPortrait,g4bppcGunterPortrait,GunterPortraitPalette00
AmaldaPortrait,g4bppcAmaldaPortrait,AmaldaPortraitPalette00
ConomorePortrait,g4bppcConomorePortrait,ConomorePortraitPalette00
HomerPortrait,g4bppcHomerPortrait,HomerPortraitPalette00
DermottPortrait,g4bppcDermottPortrait,DermottPortraitPalette00
SarahPortrait,g4bppcSarahPortrait,SarahPortraitPalette00
SaiasPortrait,g4bppcSaiasPortrait,SaiasPortraitPalette00
Asvel2Portrait,g4bppcAsvelPortrait,AsvelPortraitPalette00
AltenaPortrait,g4bppcAltenaPortrait,AltenaPortraitPalette00
TravantPortrait,g4bppcTravantPortrait,TravantPortraitPalette00
ArionPortrait,g4bppcArionPortrait,ArionPortraitPalette00
JuliusPortrait,g4bppcJuliusPortrait,JuliusPortraitPalette00
IshtarPortrait,g4bppcIshtarPortrait,IshtarPortraitPalette00
HannibalPortrait,g4bppcHannibalPortrait,HannibalPortraitPalette00
ReinhardtPortrait,g4bppcReinhardtPortrait,ReinhardtPortraitPalette00
AugustPortrait,g4bppcAugustPortrait,AugustPortraitPalette00
DoriasPortrait,g4bppcDoriasPortrait,DoriasPortraitPalette00
CairprePortrait,g4bppcCairprePortrait,CairprePortraitPalette00
SeliphPortrait,g4bppcSeliphPortrait,SeliphPortraitPalette00
LeifAngryPortrait,g4bppcLeifAngryPortrait,LeifAngryPortraitPalette00
DaisyPortrait,g4bppcDaisyPortrait,DaisyPortraitPalette00
AsaelloPortrait,g4bppcAsaelloPortrait,AsaelloPortraitPalette00
LewynPortrait,g4bppcLewynPortrait,LewynPortraitPalette00
JuliaPortrait,g4bppcJuliaPortrait,JuliaPortraitPalette00
ArthurPortrait,g4bppcArthurPortrait,ArthurPortraitPalette00
JeanPortrait,g4bppcJeanPortrait,JeanPortraitPalette00
Leonsterite1Portrait,g4bppcLeonsterite1Portrait,Leonsterite1PortraitPalette00
IliosPortrait,g4bppcIliosPortrait,IliosPortraitPalette00
Callion2Portrait,g4bppcCallionPortrait,CallionPortraitPalette00
Leonsterite2Portrait,g4bppcLeonsterite1Portrait,Leonsterite1PortraitPalette00
Leonsterite3Portrait,g4bppcLeonsterite3Portrait,Leonsterite3PortraitPalette00
Leonsterite4Portrait,g4bppcLeonsterite4Portrait,Leonsterite4PortraitPalette00
Ilios2Portrait,g4bppcIliosPortrait,IliosPortraitPalette00
XavierPortrait,g4bppcXavierPortrait,XavierPortraitPalette00
ZaummPortrait,g4bppcZaummPortrait,ZaummPortraitPalette00
CoulterPortrait,g4bppcZaummPortrait,ZaummPortraitPalette02
BossUnknown1Portrait,g4bppcZaummPortrait,LobosPortraitPalette01
GustavPortrait,g4bppcGustavPortrait,GustavPortraitPalette00
Dorias2Portrait,g4bppcDoriasPortrait,DoriasPortraitPalette00
LobosPortrait,g4bppcLobosPortrait,LobosPortraitPalette00
McCloyPortrait,g4bppcLobosPortrait,LobosPortraitPalette02
MannheimPortrait,g4bppcLobosPortrait,Leonsterite5PortraitPalette01
Glade2Portrait,g4bppcGladePortrait,GladePortraitPalette00
DvorakPortrait,g4bppcDvorakPortrait,DvorakPortraitPalette00
EichmannPortrait,g4bppcEichmannPortrait,EichmannPortraitPalette00
FardenPortrait,g4bppcFardenPortrait,FardenPortraitPalette00
August2Portrait,g4bppcAugustPortrait,AugustPortraitPalette00
WeissmannPortrait,g4bppcWeissmanPortrait,WeissmanPortraitPalette00
MerlochPortrait,g4bppcWeissmanPortrait,WeissmanPortraitPalette02
FlavusPortrait,g4bppcWeissmanPortrait,WeissmanPortraitPalette03
