あ	い	う	え	お	か	き	く
け	こ	さ	し	す	せ	そ	た
ち	つ	て	と	な	に	ぬ	ね
の	は	ひ	ふ	へ	ほ	ま	み
む	め	も	や	ゆ	よ	ら	り
る	れ	ろ	わ	を	ん	が	ぎ
ぐ	げ	ご	ざ	じ	ず	ぜ	ぞ
だ	ぢ	づ	で	ど	ば	び	ぶ
べ	ぼ	ぱ	ぴ	ぷ	ぺ	ぽ	ぁ
ぃ	ぅ	ぇ	ぉ	っ	ゃ	ゅ	ょ
ア	イ	ウ	エ	オ	カ	キ	ク
ケ	コ	サ	シ	ス	セ	ソ	タ
チ	ツ	テ	ト	ナ	ニ	ヌ	ネ
ノ	ハ	ヒ	フ	ヘ	ホ	マ	ミ
ム	メ	モ	ヤ	ユ	ヨ	ラ	リ
ル	レ	ロ	ワ	ン	ガ	ギ	グ
ゲ	ゴ	ザ	ジ	ズ	ゼ	ゾ	ダ
ヂ	ヅ	デ	ド	バ	ビ	ブ	ベ
ボ	ヴ	パ	ピ	プ	ペ	ポ	ァ
ィ	ゥ	ェ	ォ	ッ	ャ	ュ	ョ
ー	０	１	２	３	４	５	６
７	８	９	､	｡	！	？	･
｢	｣	（	）	～	　	𝑨	Ｂ
𝑪	𝑫	Ｅ	𝑩	Ｇ	𝑬	𝑺	Ｊ
Ｋ	Ｌ	Ｍ	Ｎ	Ｏ	Ｐ	Ｑ	Ｒ
Ｓ	Ｔ	Ｕ	Ｖ	Ｗ	Ｘ	Ｙ	Ｚ
，	一	二	三	四	五	六	七
八	九	十	𝐆	.	A	B	C
D	E	F	G	H	I	J	K
L	M	N	O	P	Q	R	S
T	U	V	W	X	Y	Z	½
⅛	♥	ヲ	¼	[n1]	[n2]	[n3]	[n4]
神	何	会	賊	大	男	元	気
出	状	今	皇	帝	聖	区	恩
勇	者	苦	加	争	攻	撃	力
守	備	魔	竜	石	団	閾	技
場	店	必	殺	道	書	杖	系
星	話	兵	士	使	用	運	速
法	軍	白	火	飛	地	暗	黒
進	城	海	人	騎	院	王	子
女	様	父	行	戦	来	母	山
集	剣	国	待	祖	老	東	方
辺	境	小	援	助	両	親	討
身	愛	姉	姫	才	々	繁	年
日	対	岸	街	彼	解	放	島
南	北	西	近	村	旅	悪	知
陸	草	原	建	以	他	土	占
領	狼	名	弟	半	公	数	月
前	主	破	同	盟	内	財	宝
敵	健	俺	奴	中	央	路	下
都	谷	築	無	砦	最	将	指
揮	唯	門	始	後	退	入	休
養	即	金	自	治	好	意	的
傭	久	喜	持	願	質	捕	要
塞	決	罠	言	見	性	恐	思
